Game,AppID,Release Date,Price ($),Review Count,Estimated Revenue ($)
Desert Stalker,2899050,"Dec 13, 2024",17.99,548,492926
Reus 2,1875060,"May 28, 2024",24.99,1684,2104158
Kitsune Tails,1325260,"Aug 1, 2024",14.99,721,540390
Iron Meat,1157740,"Sep 25, 2024",19.99,681,680660
Kitten Burst,1592360,"Jan 20, 2024",24.99,279,348610
LurkBait Twitch Fishing,2767520,"Feb 21, 2024",7.0,301,105350
Dollmare,2793710,"Oct 24, 2024",4.99,1004,250498
Liar's Bar,3097560,"Oct 2, 2024",6.99,39756,13894722
CAT & ONION,2781210,"Mar 12, 2024",2.99,239,35730
Duelists of Eden,1664200,"Mar 7, 2024",4.99,810,202095
OBSCURA,2342920,"Sep 9, 2024",11.99,220,131890
Dawnsbury Days,2693730,"Mar 8, 2024",4.99,432,107784
HorrorVale,1114650,"Oct 1, 2024",15.99,105,83948
Lorelei and the Laser Eyes,2008920,"May 16, 2024",18.74,1893,1773741
Anthology Of The Killer,3212530,"Oct 8, 2024",6.99,208,72696
Anger Foot,1978590,"Jul 11, 2024",24.99,2451,3062524
Cats Hidden Around the World,2377970,"Jun 9, 2024",4.99,432,107784
Apprehending the Adventurer Chan! ~Live2D Tentacles Simulator~,3012420,"Jun 27, 2024",7.99,605,241698
Dungeons of Hinterberg,1983260,"Jul 18, 2024",29.99,1406,2108297
